אפקה;אֲפֵקָה
אפר;אֲפֵר
אפר;אֵפֶר
אפרח;אֶפְרֹחַ
אפריון;אַפִּרְיֹון
אפרים;אֶפְרַיִם
אפרסי;אֲפָרְסָי
אפרסכי;אֲפַרְסְכָי
אפרסתכי;אֲפַרְסַתְכָי
אפרת;אֶפְרָת
אפרתה;אֶפְרָתָה
אפרתי;אֶפְרָתִי
אפתם;אַפְּתֹם
אצבון;אֶצְבֹּון
אצבע;אֶצְבַּע
אציל;אַצִּיל
אציל;אָצִיל
אצל;אצל
אצל;אֵצֶל
אצל;אָצֵל
אצליהו;אֲצַלְיָהוּ
אצם;אֹצֶם
אצעדה;אֶצְעָדָה
אצר;אצר
אצר;אֵצֶר
אקדח;אֶקְדָּח
אקו;אַקֹּו
ארא;אֲרָא
אראל;אֶרְאֵל
אראלי;אַרְאֵלִי
ארב;ארב
ארב;אֲרַב
ארב;אֶרֶב
ארב;אֹרֶב
ארבה;אֲרֻבָּה
ארבה;אַרְבֶּה
ארבה;אָרְבָּה
ארבות;אֲרֻבֹּות
ארבי;אַרְבִּי
ארבע;אַרְבַּע
ארג;ארג
ארג;אֶרֶג
ארגב;אַרְגֹּב
ארגז;אַרְגַּז
ארגמן;אַרְגָּמָן
ארד;אַרְדְּ
ארדון;אַרְדֹּון
ארדי;אֲרִדַי
ארדי;אַרְדִּי
ארה;ארה
ארו;אֲרוּ
ארוד;אֲרֹוד
ארוד;אַרְוַד
ארודי;אֲרֹודִי
ארודי;אַרְוָדִי
ארוה;אֻרְוָה
ארוז;אָרוּז
ארוכה;אֲרוּכָה
ארומה;אֲרוּמָה
ארון;אֲרֹון
ארונה;אֲרַוְנָה
ארז;אֶרֶז
ארזה;אַרְזָה
ארח;ארח
ארח;אֲרַח
ארח;אָרַח
ארח;אֹרַח
ארחה;אֲרֻחָה
ארחה;אֹרְחָה
ארי;אֲרִי
אריאל;אֲרִיאֵל
ארידתא;אֲרִידָתָא
אריה;אַרְיֵה
אריוך;אַרְיֹוךְ
אריך;אֲרִיךְ
אריסי;אֲרִיסַי
ארך;ארך
ארך;אֶרֶךְ
ארך;אָרֵךְ
ארך;אָרֹךְ
ארך;אֹרֶךְ
ארכבה;אַרְכֻבָּה
ארכה;אַרְכָה
ארכוי;אַרְכְּוָי
ארכי;אַרְכִּי
ארם;אֲרָם
ארם בית רחוב;אֲרַם בֵּית־רְחֹוב
ארם דמשׂק;אֲרַם דַּמֶּשֶׂק
ארם מעכה;אֲרַם מַעֲכָה
ארם נהרים;אֲרַם נַהֲרַיִם
ארם צובא;אֲרַם צֹובָא
ארמון;אַרְמֹון
ארמי;אֲרַמִּי
ארמית;אֲרָמִית
ארמני;אַרְמֹנִי
ארן;אֲרָן
ארן;אֹרֶן
ארנבת;אַרְנֶבֶת
ארנון;אַרְנֹון
ארנן;אַרְנָן
ארנן;אָרְנָן
ארע;אֲרַע
ארעי;אַרְעִי
ארפד;אַרְפַּד
ארפכשׁד;אַרְפַּכְשַׁד
ארץ;אֶרֶץ
ארצא;אַרְצָא
ארק;אֲרַק
ארר;ארר
אררט;אֲרָרַט
ארשׂ;ארשׂ
ארשׁת;אֲרֶשֶׁת
ארתחשׁסתא;אַרְתַּחְשַׁסְתְּא
אשׁ;אִשׁ
אשׁ;אֵשׁ
אשׁ;אֹשׁ
